ags,municipality,population,latitude,longitude,eligible,votes,valid,yes,no,num_hospitals,num_hospitals_new
61253,Admont,5017,47.5667,14.4667,4017,1560,1554,331,1223,0,0
61254,Aich,1283,47.4167,13.8167,993,366,366,123,243,0,0
61203,Aigen im Ennstal,2706,47.5167,14.15,2157,938,933,736,197,0,0
61204,Altaussee,1879,47.6333,13.7667,1525,822,821,90,731,0,0
61205,Altenmarkt bei Sankt Gallen,821,47.7167,14.6333,651,237,237,47,190,0,0
61206,Ardning,1228,47.5833,14.3667,1023,433,432,131,301,0,0
61207,Bad Aussee,4830,47.6167,13.7833,3604,1867,1861,193,1668,1,0
61255,Bad Mitterndorf,4966,47.55,13.9333,3801,1230,1228,715,513,0,0
61256,Gaishorn am See,1334,47.4833,14.55,1081,611,609,56,553,0,0
61213,Gröbming,3011,47.45,13.9,2226,642,640,317,323,0,0
61215,Grundlsee,1201,47.6333,13.8333,1009,487,484,55,429,0,0
61217,Haus,2428,47.4,13.7667,1886,679,676,155,521,0,0
61257,Irdning-Donnersbachtal,4125,47.5,14.1,3340,1510,1500,1333,167,0,0
61258,Landl,2719,47.65,14.7333,2328,883,874,158,716,0,0
61222,Lassing,1723,47.5333,14.2667,1453,582,579,198,381,0,0
61259,Liezen,8211,47.5667,14.2333,5869,1838,1834,825,1009,0,0
61260,Michaelerberg-Pruggern,1178,47.4167,13.8833,874,306,305,152,153,0,0
61261,Mitterberg-Sankt Martin,1936,47.4833,13.9833,1535,541,537,381,156,0,0
61262,Öblarn,2029,47.45,14.0,1529,532,531,371,160,0,0
61236,Ramsau am Dachstein,2804,47.4167,13.65,2114,857,855,70,785,0,0
61263,Rottenmann,5236,47.5333,14.35,3982,2629,2623,106,2517,1,0
61264,Sankt Gallen,1832,47.6833,14.6167,1423,515,507,98,409,0,0
61265,Schladming,6661,47.4,13.6833,4987,2079,2075,180,1895,1,0
61243,Selzthal,1593,47.55,14.3167,1235,597,596,70,526,0,0
61266,Sölk,1493,47.4,13.9667,1251,342,341,205,136,0,0
61267,Stainach-Pürgg,2861,47.5333,14.1,2141,1081,1079,970,109,0,1
61247,Trieben,3393,47.4833,14.4833,2608,1378,1372,94,1278,0,0
61251,Wildalpen,466,47.65,14.9833,407,182,181,17,164,0,0
61252,Wörschach,1128,47.55,14.15,904,405,402,343,59,0,0
